ufb,usefulness,experience,numofrv,lenrv,dup,score
2,1,0,1,150,0,7
47,0.516483516,0,1,879,0,7
1,0.5,0,1,348,0,7
2,0.222222222,0,1,165,0,7
34,0.894736842,0,1,766,0,7
6,0.75,0,1,664,0,7
23,0.638888889,238,5,872.2,1,7
15,0.882352941,1734,6,531.8333333,1,7
8,0.888888889,0,1,1230,0,7
18,0.692307692,0,1,1410,0,7
11,0.785714286,652,2,712.5,1,7
10,0.454545455,93,2,357,1,7
56,0.474576271,2099,29,296.1290323,1,7
246,0.931818182,306,14,1558.666667,1,7
3,1,0,1,805,0,7
9,0.9,0,1,423,0,7
1,1,0,1,1892,0,7
91,0.798245614,2672,28,658.9285714,1,7
6,0.857142857,0,1,365,0,7
3,1,0,1,566,0,7
10,1,0,1,406,0,7
3,0.115384615,0,1,345,0,7
149,0.668161435,602,32,898.21875,1,7
0,0,0,1,332,0,7
54,0.739726027,13,4,410.5,1,7
17,0.68,1407,2,1490.5,1,7
245,0.782747604,7,1,747.5,0,7
5,0.833333333,0,1,648,0,7
223,0.847908745,1810,33,1073.818182,1,7
20,0.25,0,1,522,0,7
3,0.75,0,1,727,0,7
38,0.76,2051,23,415.3913043,1,7
4,0.8,0,1,358,0,7
16,0.761904762,0,1,2082,0,7
3,0.75,101,3,703.6666667,1,7
7,1,0,1,1251,0,7
5,0.833333333,0,1,979,0,7
4,0.8,0,1,434,0,7
36,0.461538462,701,2,282.5,1,7
7,0.5,0,1,435,0,7
8,0.077669903,0,1,258,0,7
12,0.8,0,1,1313,0,7
75,0.559701493,2042,20,674.3333333,1,7
10,0.434782609,0,1,1208,0,7
8,1,0,1,551,0,7
2,0.666666667,0,2,298.5,1,7
11,0.733333333,0,1,860,0,7
42,0.875,0,1,3017,0,7
2,1,0,1,1031,0,7
0,0,0,1,372,0,7
6,0.461538462,50,2,259,1,7
39,0.829787234,1615,7,855.7142857,1,7
12,0.48,807,3,1405.333333,1,7
21,0.875,1194,7,1107.714286,1,7
4,1,0,1,1259,0,7
85,0.691056911,1825,11,2506.363636,1,7
4,1,0,1,454,0,7
34,0.708333333,1116,13,714.8461538,1,7
9,0.9,0,1,578,0,7
0,0,409,2,970.5,1,7
5,1,0,1,1554,0,7
24,0.436363636,274,5,1392.8,1,7
3,1,0,1,984,0,7
4,0.363636364,0,1,271,0,8
7,0.875,153,5,330.6,1,8
11,0.916666667,0,1,405,0,8
0,0,0,1,332,0,8
185,0.774058577,587,22,1007.136364,1,8
1,0.142857143,0,1,166,0,8
2,0.666666667,93,5,854.4,1,8
38,0.475,0,1,122,0,8
1,1,0,1,688,0,8
33,0.76744186,53,5,1323.8,1,8
24,0.75,236,3,1230,1,8
11,0.846153846,58,2,1003,1,8
28,0.252252252,921,4,475.25,1,8
4,0.571428571,0,1,876,0,8
3,1,0,1,618,0,8
81,0.778846154,216,3,316.6666667,1,8
1,0.333333333,0,1,584,0,8
3,0.428571429,0,1,336,0,8
24,0.96,0,1,828,0,8
8,0.888888889,0,1,1681,0,8
12,0.705882353,457,2,257.5,1,8
43,0.895833333,0,1,1421,0,8
28,0.903225806,1491,3,1883.333333,1,8
3,1,0,1,3126,0,8
73,0.960526316,13,2,2706,1,8
2,1,0,1,178,0,8
10,0.27027027,0,1,620,0,8
4,0.8,0,1,1808,0,8
9,0.9,0,2,1309,1,8
246,0.86013986,2071,12,609.0833333,1,8
1,1,152,2,239,1,8
16,0.296296296,1006,7,1720.285714,1,8
77,0.538461538,0,1,260,0,8
3,1,0,1,785,0,8
2,1,2899,2,825.5,1,8
34,0.693877551,473,12,253.6666667,1,8
1,1,0,1,356,0,8
1,0.5,0,1,134,0,8
12,0.8,0,1,617,0,8
5,0.714285714,0,1,437,0,8
20,0.909090909,0,1,1715,0,8
32,0.727272727,355,7,1232.857143,1,8
0,0,0,1,531,0,8
10,0.416666667,0,1,662,0,8
420,0.845070423,2380,42,2048.738095,1,8
67,0.582608696,0,1,378,0,8
1,1,0,1,900,0,8
16,0.888888889,0,1,980,0,8
1,1,0,1,163,0,8
4,0.666666667,0,1,332,0,8
10,0.769230769,31,5,418.6,1,8
74,0.496644295,973,16,894.875,1,8
8,1,0,1,951,0,8
